escuela,puntaje,postulantes,ingresantes,tasa_ingreso
"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",1100.75,198,15,0.07575757575757576
COMUNICACIÓN SOCIAL,1104.75,310,18,0.05806451612903226
FARMACIA Y BIOQUÍMICA,1110.375,262,29,0.11068702290076336
INGENIERÍA CIVIL,1125.875,678,28,0.04129793510324484
DERECHO,1143.0,2107,136,0.064546748932131
TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,1147.0,144,17,0.11805555555555555
INGENIERÍA BIOMÉDICA,1169.125,234,15,0.0641025641025641
INGENIERÍA DE SOFTWARE,1185.25,340,15,0.04411764705882353
ODONTOLOGÍA,1189.25,462,25,0.05411255411255411
INGENIERÍA DE SISTEMAS,1192.625,1029,32,0.031098153547133137
PSICOLOGÍA,1192.625,1155,48,0.04155844155844156
MEDICINA VETERINARIA,1200.625,458,20,0.043668122270742356
MEDICINA HUMANA,1469.0,4610,55,0.01193058568329718
